epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7337955832481384,0.0010000000474974513,0.5231232643127441,0.8028846383094788,0.36147066950798035
1,0.7922821640968323,0.0010000000474974513,0.4305809736251831,0.8653846383094788,0.2872005105018616
2,0.8182092308998108,0.0010000000474974513,0.38963499665260315,0.8557692170143127,0.3023112416267395
3,0.8432318568229675,0.0010000000474974513,0.35412999987602234,0.8653846383094788,0.29507553577423096
4,0.8558938503265381,0.0010000000474974513,0.3306146264076233,0.879807710647583,0.2891659140586853
5,0.8486584424972534,0.0010000000474974513,0.32674598693847656,0.8365384340286255,0.3391704261302948
6,0.8564968109130859,0.0010000000474974513,0.31544390320777893,0.875,0.2663426995277405
7,0.8709677457809448,0.0010000000474974513,0.29904890060424805,0.8942307829856873,0.27844661474227905
8,0.879107654094696,0.0010000000474974513,0.28348681330680847,0.9038461446762085,0.24989619851112366
9,0.8884534239768982,0.0010000000474974513,0.26502713561058044,0.875,0.3259640336036682
10,0.8824238777160645,0.0010000000474974513,0.27219247817993164,0.8990384340286255,0.24126531183719635
11,0.880313515663147,0.0010000000474974513,0.2723239064216614,0.875,0.2509440779685974
12,0.880313515663147,0.0010000000474974513,0.2583044171333313,0.9086538553237915,0.24947556853294373
13,0.889056384563446,0.0010000000474974513,0.2556697130203247,0.9230769276618958,0.2438146024942398
14,0.9005125164985657,0.0010000000474974513,0.23128977417945862,0.9038461446762085,0.3128630220890045
15,0.8959903717041016,0.0010000000474974513,0.2453574240207672,0.9038461446762085,0.21337029337882996
16,0.8956888914108276,0.0010000000474974513,0.24071894586086273,0.8990384340286255,0.25976142287254333
17,0.9014169573783875,0.0010000000474974513,0.24386931955814362,0.9086538553237915,0.22579103708267212
18,0.9062405824661255,0.0010000000474974513,0.23383508622646332,0.9182692170143127,0.22259284555912018
19,0.9026228785514832,0.0010000000474974513,0.23400714993476868,0.932692289352417,0.2058040350675583
20,0.9074465036392212,0.0010000000474974513,0.21470901370048523,0.932692289352417,0.21634238958358765
21,0.9104612469673157,0.0010000000474974513,0.22208638489246368,0.8894230723381042,0.28745272755622864
22,0.9101597666740417,0.0010000000474974513,0.21725139021873474,0.8894230723381042,0.2999069094657898
23,0.9110642075538635,0.0010000000474974513,0.20613345503807068,0.8846153616905212,0.2396387755870819
24,0.9258366227149963,0.0010000000474974513,0.19113858044147491,0.9182692170143127,0.20512868463993073
25,0.9225203394889832,0.0010000000474974513,0.18706761300563812,0.9230769276618958,0.20206934213638306
26,0.9201085567474365,0.0010000000474974513,0.19579586386680603,0.9086538553237915,0.2503766417503357
27,0.9213144183158875,0.0010000000474974513,0.19120584428310394,0.9182692170143127,0.26769623160362244
28,0.9176967144012451,0.0010000000474974513,0.20139041543006897,0.9182692170143127,0.23233263194561005
29,0.9216158986091614,0.0010000000474974513,0.20181626081466675,0.9134615659713745,0.24785493314266205
30,0.9267410039901733,0.0010000000474974513,0.1827743649482727,0.9086538553237915,0.21292664110660553
31,0.9366897940635681,0.0005000000237487257,0.17071041464805603,0.9230769276618958,0.22694848477840424
32,0.9375942349433899,0.0005000000237487257,0.16478079557418823,0.9278846383094788,0.204098641872406
33,0.9303587675094604,0.0005000000237487257,0.17353475093841553,0.9230769276618958,0.19038864970207214
34,0.9312632083892822,0.0005000000237487257,0.16753624379634857,0.9182692170143127,0.20308354496955872
35,0.9285498857498169,0.0005000000237487257,0.17111265659332275,0.9230769276618958,0.19223445653915405
36,0.9360868334770203,0.0005000000237487257,0.16488832235336304,0.932692289352417,0.19798097014427185
37,0.9345794320106506,0.0005000000237487257,0.1567593663930893,0.9230769276618958,0.19065260887145996
38,0.9300572872161865,0.0005000000237487257,0.17344772815704346,0.9278846383094788,0.20061984658241272
39,0.9490503668785095,0.0002500000118743628,0.14176630973815918,0.932692289352417,0.17234578728675842
40,0.9406089782714844,0.0002500000118743628,0.15311719477176666,0.9182692170143127,0.2173946052789688
41,0.932167649269104,0.0002500000118743628,0.17720969021320343,0.9278846383094788,0.17946892976760864
42,0.9427193403244019,0.0002500000118743628,0.14721746742725372,0.9230769276618958,0.19243577122688293
43,0.9388000965118408,0.0002500000118743628,0.1520499438047409,0.9230769276618958,0.19740191102027893
44,0.9415134191513062,0.0002500000118743628,0.14949020743370056,0.9230769276618958,0.1998736709356308
45,0.942116379737854,0.0001250000059371814,0.14741924405097961,0.9230769276618958,0.1967969536781311
46,0.9406089782714844,0.0001250000059371814,0.14194785058498383,0.9278846383094788,0.18931944668293
47,0.9409104585647583,0.0001250000059371814,0.1612967997789383,0.9278846383094788,0.18544451892375946
48,0.9424178600311279,0.0001250000059371814,0.14457076787948608,0.9230769276618958,0.1908060759305954
49,0.9409104585647583,0.0001250000059371814,0.1556432545185089,0.9278846383094788,0.1958133429288864
50,0.9460355639457703,6.25000029685907e-05,0.14114457368850708,0.9182692170143127,0.2012759894132614
51,0.9457340836524963,6.25000029685907e-05,0.14068934321403503,0.9230769276618958,0.1965140551328659
52,0.9381971955299377,6.25000029685907e-05,0.14263972640037537,0.9278846383094788,0.19486936926841736
53,0.9445281624794006,6.25000029685907e-05,0.15514682233333588,0.9230769276618958,0.19493427872657776
54,0.9451311230659485,6.25000029685907e-05,0.1433398574590683,0.9230769276618958,0.19663335382938385
