epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7877824902534485,0.0020000000949949026,0.4573846459388733,0.2836538553237915,1.5760061740875244
1,0.8580508232116699,0.0020000000949949026,0.33399710059165955,0.29807692766189575,3.2219717502593994
2,0.8947740197181702,0.0020000000949949026,0.26143601536750793,0.745192289352417,0.6735767126083374
3,0.918255627155304,0.0020000000949949026,0.2167540043592453,0.9134615659713745,0.1915779411792755
4,0.9286723136901855,0.0020000000949949026,0.19091859459877014,0.932692289352417,0.17321158945560455
5,0.9364407062530518,0.0020000000949949026,0.16836826503276825,0.9182692170143127,0.1710079461336136
6,0.9399717450141907,0.0020000000949949026,0.15681537985801697,0.9038461446762085,0.2150597870349884
7,0.9583333134651184,0.0020000000949949026,0.11347866803407669,0.9182692170143127,0.1946873813867569
8,0.9620409607887268,0.0020000000949949026,0.10657858848571777,0.942307710647583,0.14418461918830872
9,0.9574505686759949,0.0020000000949949026,0.10854208469390869,0.932692289352417,0.16498535871505737
10,0.9576271176338196,0.0020000000949949026,0.11545444279909134,0.9182692170143127,0.16306963562965393
11,0.9691030979156494,0.0020000000949949026,0.08365742862224579,0.932692289352417,0.26712292432785034
12,0.9717513918876648,0.0020000000949949026,0.07585735619068146,0.932692289352417,0.20925702154636383
13,0.9728107452392578,0.0020000000949949026,0.07326348125934601,0.942307710647583,0.1479383260011673
14,0.9839336276054382,0.0010000000474974513,0.047114744782447815,0.9278846383094788,0.22098544239997864
15,0.9846398234367371,0.0010000000474974513,0.045998912304639816,0.9134615659713745,0.20387277007102966
16,0.9888771176338196,0.0010000000474974513,0.039377111941576004,0.942307710647583,0.20070743560791016
17,0.9812853336334229,0.0010000000474974513,0.052925895899534225,0.932692289352417,0.18288113176822662
18,0.9883474707603455,0.0010000000474974513,0.036126527935266495,0.9567307829856873,0.14166918396949768
19,0.981814980506897,0.0010000000474974513,0.05153603106737137,0.9519230723381042,0.19083616137504578
20,0.9901130199432373,0.0010000000474974513,0.034002941101789474,0.9567307829856873,0.16312728822231293
21,0.9894067645072937,0.0010000000474974513,0.034077275544404984,0.9038461446762085,0.2981588542461395
22,0.9860522747039795,0.0010000000474974513,0.040564872324466705,0.9471153616905212,0.23881609737873077
23,0.9885240197181702,0.0010000000474974513,0.03650662302970886,0.932692289352417,0.18704278767108917
24,0.9927613139152527,0.0005000000237487257,0.02612319588661194,0.9471153616905212,0.18758319318294525
25,0.9932909607887268,0.0005000000237487257,0.021640252321958542,0.9471153616905212,0.18508464097976685
26,0.9931144118309021,0.0005000000237487257,0.023240715265274048,0.9471153616905212,0.1828819066286087
27,0.9934675097465515,0.0005000000237487257,0.022105667740106583,0.9375,0.20178064703941345
28,0.994879961013794,0.0005000000237487257,0.02166789583861828,0.9471153616905212,0.19931457936763763
29,0.9964689016342163,0.0002500000118743628,0.01498863659799099,0.942307710647583,0.19556155800819397
30,0.9954096078872681,0.0002500000118743628,0.01573147065937519,0.9519230723381042,0.18531860411167145
31,0.9964689016342163,0.0002500000118743628,0.014078285545110703,0.9471153616905212,0.2122744768857956
32,0.9971751570701599,0.0002500000118743628,0.012891286052763462,0.9615384340286255,0.18244078755378723
33,0.9945268630981445,0.0002500000118743628,0.019906336441636086,0.942307710647583,0.18710222840309143
