epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7713630199432373,0.0020000000949949026,0.4924914836883545,0.36538460850715637,1.2422699928283691
1,0.8230932354927063,0.0020000000949949026,0.4025065004825592,0.7884615659713745,0.4237154424190521
2,0.8463982939720154,0.0020000000949949026,0.3630099892616272,0.8653846383094788,0.28404444456100464
3,0.8658192157745361,0.0020000000949949026,0.3246350586414337,0.8605769276618958,0.30548974871635437
4,0.8788841962814331,0.0020000000949949026,0.3006180226802826,0.807692289352417,0.4253351092338562
5,0.8811793923377991,0.0020000000949949026,0.2869497835636139,0.8942307829856873,0.22583284974098206
6,0.8970692157745361,0.0020000000949949026,0.2559293210506439,0.8125,0.5391291379928589
7,0.9034251570701599,0.0020000000949949026,0.23992010951042175,0.8269230723381042,0.4773208796977997
8,0.9127824902534485,0.0020000000949949026,0.2227642834186554,0.7788461446762085,0.6680060029029846
9,0.9122528433799744,0.0020000000949949026,0.22595109045505524,0.8509615659713745,0.32765865325927734
10,0.9200211763381958,0.0020000000949949026,0.20887216925621033,0.8269230723381042,0.40039879083633423
11,0.9343220591545105,0.0010000000474974513,0.17977584898471832,0.9086538553237915,0.17901340126991272
12,0.9396186470985413,0.0010000000474974513,0.16723249852657318,0.6778846383094788,0.8289048671722412
13,0.9403248429298401,0.0010000000474974513,0.16177009046077728,0.9086538553237915,0.24588094651699066
14,0.9369703531265259,0.0010000000474974513,0.15994559228420258,0.879807710647583,0.2258424013853073
15,0.9378530979156494,0.0010000000474974513,0.15706855058670044,0.8653846383094788,0.28316521644592285
16,0.9463276863098145,0.0010000000474974513,0.147136390209198,0.9230769276618958,0.19389669597148895
17,0.9518008232116699,0.0005000000237487257,0.1311144083738327,0.9038461446762085,0.19865140318870544
18,0.955685019493103,0.0005000000237487257,0.1237369030714035,0.8894230723381042,0.20031216740608215
19,0.950564980506897,0.0005000000237487257,0.13710752129554749,0.8894230723381042,0.23921972513198853
20,0.9592161178588867,0.0005000000237487257,0.11708606779575348,0.9134615659713745,0.18420593440532684
21,0.9537429213523865,0.0005000000237487257,0.12755215167999268,0.7884615659713745,0.5378847122192383
22,0.9565678238868713,0.0002500000118743628,0.1229066550731659,0.8990384340286255,0.2061958909034729
23,0.961334764957428,0.0002500000118743628,0.11454886943101883,0.870192289352417,0.26032331585884094
24,0.9593926668167114,0.0002500000118743628,0.11588675528764725,0.9278846383094788,0.18727850914001465
25,0.9632768630981445,0.0002500000118743628,0.1074601411819458,0.8894230723381042,0.22054362297058105
26,0.9639830589294434,0.0002500000118743628,0.10252099484205246,0.9134615659713745,0.20922431349754333
