model,tier,accuracy,f1_macro,f1_weighted,best_val_accuracy,epochs_trained
m2,1,0.8798,0.8607,0.8820,0.9279,41
m2,2,0.8606,0.7335,0.8582,0.9038,57
m2,3,0.7762,0.7217,0.7740,0.8521,66
m5,1,0.8942,0.8736,0.8947,0.9279,50
m5,2,0.7933,0.5956,0.7944,0.8750,65
m5,3,0.6923,0.6116,0.6909,0.8380,72
m6,1,0.9087,0.8903,0.9089,0.9663,49
m6,2,0.8413,0.7388,0.8403,0.8942,25
m6,3,0.8182,0.7624,0.8147,0.8521,62
