model,tier,accuracy,f1_macro,f1_weighted,best_val_accuracy,epochs_trained
m2,1,0.9135,0.8975,0.9142,0.9423,51
m2,2,0.8654,0.7315,0.8590,0.9183,75
m2,3,0.7692,0.7165,0.7733,0.8451,61
m5,1,0.8798,0.8640,0.8832,0.9327,55
m5,2,0.8029,0.6377,0.8100,0.8317,65
m5,3,0.7273,0.6570,0.7254,0.7958,81
m6,1,0.9135,0.9001,0.9152,0.9567,55
m6,2,0.8702,0.7767,0.8660,0.9038,41
m6,3,0.7762,0.7247,0.7723,0.8662,65
